country,date,first_case_date,cases
United States,2020-01-22,2020-01-22,1
United States,2020-01-23,2020-01-22,1
United States,2020-01-24,2020-01-22,2
United States,2020-01-25,2020-01-22,2
United States,2020-01-26,2020-01-22,5
United States,2020-01-27,2020-01-22,5
United States,2020-01-28,2020-01-22,5
United States,2020-01-29,2020-01-22,5
United States,2020-01-30,2020-01-22,5
United States,2020-01-31,2020-01-22,7
United States,2020-02-01,2020-01-22,8
United States,2020-02-02,2020-01-22,8
United States,2020-02-03,2020-01-22,11
United States,2020-02-04,2020-01-22,11
United States,2020-02-05,2020-01-22,11
United States,2020-02-06,2020-01-22,11
United States,2020-02-07,2020-01-22,11
United States,2020-02-08,2020-01-22,11
United States,2020-02-09,2020-01-22,11
United States,2020-02-10,2020-01-22,11
United States,2020-02-11,2020-01-22,12
United States,2020-02-12,2020-01-22,13
United States,2020-02-13,2020-01-22,13
United States,2020-02-14,2020-01-22,13
United States,2020-02-15,2020-01-22,13
United States,2020-02-16,2020-01-22,13
United States,2020-02-17,2020-01-22,13
United States,2020-02-18,2020-01-22,13
United States,2020-02-19,2020-01-22,13
United States,2020-02-20,2020-01-22,13
United States,2020-02-21,2020-01-22,15
United States,2020-02-22,2020-01-22,15
United States,2020-02-23,2020-01-22,15
United States,2020-02-24,2020-01-22,15
United States,2020-02-25,2020-01-22,15
United States,2020-02-26,2020-01-22,15
United States,2020-02-27,2020-01-22,16
United States,2020-02-28,2020-01-22,16
United States,2020-02-29,2020-01-22,24
United States,2020-03-01,2020-01-22,30
United States,2020-03-02,2020-01-22,53
United States,2020-03-03,2020-01-22,80
United States,2020-03-04,2020-01-22,98
United States,2020-03-05,2020-01-22,164
United States,2020-03-06,2020-01-22,214
United States,2020-03-07,2020-01-22,279
United States,2020-03-08,2020-01-22,423
United States,2020-03-09,2020-01-22,647
United States,2020-03-10,2020-01-22,937
United States,2020-03-11,2020-01-22,1215
United States,2020-03-12,2020-01-22,1629
United States,2020-03-13,2020-01-22,1896
United States,2020-03-14,2020-01-22,2234
United States,2020-03-15,2020-01-22,3487
United States,2020-03-16,2020-01-22,4226
United States,2020-03-17,2020-01-22,7038
United States,2020-03-18,2020-01-22,10442
United States,2020-03-19,2020-01-22,15219
United States,2020-03-20,2020-01-22,18747
United States,2020-03-21,2020-01-22,24583
United States,2020-03-22,2020-01-22,33404
United States,2020-03-23,2020-01-22,44183
