quarter,governor,party,state,approve,disapprove,net,lean
2019-03-31,Dunleavy,R,Alaska,42,29,13,18.8
2019-03-31,Ivey,R,Alabama,63,19,44,29.4
2019-03-31,Hutchinson,R,Arkansas,57,23,34,30
2019-03-31,Ducey,R,Arizona,50,30,20,8.3
2019-03-31,Newsom,D,California,41,29,12,26.7
2019-03-31,Polis,D,Colorado,44,26,18,2.6
2019-03-31,Lamont,D,Connecticut,33,38,-5,12.6
2019-03-31,Carney,D,Delaware,54,28,26,11.5
2019-03-31,DeSantis,R,Florida,54,20,34,3.4
2019-03-31,Kemp,R,Georgia,48,23,25,9
2019-03-31,Ige,D,Hawaii,47,36,11,35.1
2019-03-31,Reynolds,R,Iowa,44,37,7,7.3
2019-03-31,Little,R,Idaho,52,16,36,38.1
2019-03-31,Pritzker,D,Illinois,40,29,11,15
2019-03-31,Holcomb,R,Indiana,49,22,27,19.8
2019-03-31,Kelly,D,Kansas,43,20,23,-25
2019-03-31,Bevin,R,Kentucky,33,52,-19,31.4
2019-03-31,Edwards,D,Louisiana,47,32,15,-22.2
2019-03-31,Baker,R,Massachusetts,73,14,59,-24.6
2019-03-31,Hogan,R,Maryland,71,14,57,-24.8
2019-03-31,Mills,D,Maine,50,30,20,4.6
2019-03-31,Whitmer,D,Michigan,44,24,20,0.3
2019-03-31,Walz,D,Minnesota,45,24,21,1
2019-03-31,Parson,R,Missouri,44,18,26,19
2019-03-31,Bryant,R,Mississippi,52,25,27,18.7
2019-03-31,Bullock,D,Montana,54,28,26,-22.2
2019-03-31,Cooper,D,North Carolina,49,28,21,-6
2019-03-31,Burgum,R,North Dakota,55,21,34,35.9
2019-03-31,Ricketts,R,Nebraska,54,32,22,28.3
2019-03-31,Sununu,R,New Hampshire,64,23,41,0.6
2019-03-31,Murphy,D,New Jersey,45,36,9,12.9
2019-03-31,Lujan Grisham,D,New Mexico,41,33,8,7
2019-03-31,Sisolak,D,Nevada,43,24,19,1.2
2019-03-31,Cuomo,D,New York,49,40,9,22.4
2019-03-31,DeWine,R,Ohio,44,26,18,7.3
2019-03-31,Stitt,R,Oklahoma,44,18,26,39.7
2019-03-31,K. Brown,D,Oregon,41,44,-3,9.6
2019-03-31,Wolf,D,Pennsylvania,53,32,21,-1.5
2019-03-31,Raimondo,D,Rhode Island,40,50,-10,17.7
2019-03-31,McMaster,R,South Carolina,57,23,34,16.3
2019-03-31,Noem,R,South Dakota,49,32,17,30.1
2019-03-31,Lee,R,Tennessee,54,14,40,27.8
2019-03-31,Abbott,R,Texas,57,23,34,14.3
2019-03-31,Herbert,R,Utah,52,27,25,36.7
2019-03-31,Northam,D,Virginia,40,36,4,2.3
2019-03-31,P. Scott,R,Vermont,59,28,31,-29.7
2019-03-31,Inslee,D,Washington,47,32,15,14
2019-03-31,Evers,D,Wisconsin,46,26,20,-0.8
2019-03-31,Justice,R,West Virginia,50,36,14,41.6
2019-03-31,Gordon,R,Wyoming,53,10,43,51.1
2018-12-31,B. Walker,I,Alaska,27,51,-24,
2018-12-31,Ivey,R,Alabama,63,19,44,29.4
2018-12-31,Hutchinson,R,Arkansas,57,24,33,30
2018-12-31,Ducey,R,Arizona,49,32,17,8.3
2018-12-31,J. Brown,D,California,42,40,2,26.7
2018-12-31,Hickenlooper,D,Colorado,49,30,19,2.6
2018-12-31,Malloy,D,Connecticut,20,69,-49,12.6
2018-12-31,Carney,D,Delaware,51,25,26,11.5
2018-12-31,R. Scott,R,Florida,47,41,6,3.4
2018-12-31,Deal,R,Georgia,53,25,28,9
2018-12-31,Ige,D,Hawaii,54,33,21,35.1
2018-12-31,Reynolds,R,Iowa,42,41,1,7.3
2018-12-31,Otter,R,Idaho,49,35,14,38.1
2018-12-31,Rauner,R,Illinois,25,60,-35,-15
2018-12-31,Holcomb,R,Indiana,49,22,27,19.8
2018-12-31,Colyer,R,Kansas,37,32,5,25
2018-12-31,Bevin,R,Kentucky,34,51,-17,31.4
2018-12-31,Edwards,D,Louisiana,49,30,19,-22.2
2018-12-31,Baker,R,Massachusetts,72,14,58,-24.6
2018-12-31,Hogan,R,Maryland,68,17,51,-24.8
2018-12-31,LePage,R,Maine,39,54,-15,-4.6
2018-12-31,Snyder,R,Michigan,34,50,-16,-0.3
2018-12-31,Dayton,D,Minnesota,47,35,12,1
2018-12-31,Parson,R,Missouri,44,18,26,19
2018-12-31,Bryant,R,Mississippi,52,28,24,18.7
2018-12-31,Bullock,D,Montana,52,29,23,-22.2
2018-12-31,Cooper,D,North Carolina,51,26,25,-6
2018-12-31,Burgum,R,North Dakota,53,22,31,35.9
2018-12-31,Ricketts,R,Nebraska,53,31,22,28.3
2018-12-31,Sununu,R,New Hampshire,60,23,37,0.6
2018-12-31,Murphy,D,New Jersey,44,35,9,12.9
2018-12-31,Martinez,R,New Mexico,35,49,-14,-7
2018-12-31,Sandoval,R,Nevada,53,22,31,-1.2
2018-12-31,Cuomo,D,New York,50,38,12,22.4
2018-12-31,Kasich,R,Ohio,48,32,16,7.3
2018-12-31,Fallin,R,Oklahoma,16,72,-56,39.7
